bootstraps,time,original,computed,difference
12402,5.975100990957996E9,3.8602723662557445,3.8596460148752176,1.6225574806640904E-4
12502,6.023263835831998E9,3.8602723662557445,3.859695732332601,1.4937648653603875E-4
12602,6.071448064544992E9,3.8602723662557445,3.8597358437269906,1.389856667741585E-4
12702,6.119648567986003E9,3.8602723662557445,3.8598570251688384,1.0759372590824863E-4
12802,6.167850763237002E9,3.8602723662557445,3.859846709553076,1.1026597666771644E-4
12902,6.216033118052002E9,3.8602723662557445,3.859918661522551,9.162688526475701E-5
13002,6.264179996101992E9,3.8602723662557445,3.859907306583722,9.456837170701279E-5
13102,6.312346311739006E9,3.8602723662557445,3.859950566821374,8.336184699911359E-5
13202,6.360509598017007E9,3.8602723662557445,3.85999915984412,7.07738692256175E-5
13302,6.408665962832997E9,3.8602723662557445,3.8599792028287716,7.594371566514485E-5
13402,6.456857577864002E9,3.8602723662557445,3.8599808981172994,7.550455273389673E-5
13502,6.505005916148005E9,3.8602723662557445,3.859987813119003,7.37132279133644E-5
13602,6.553196954893003E9,3.8602723662557445,3.8599453347198236,8.47172180853536E-5
13702,6.601386530891003E9,3.8602723662557445,3.8599080809767305,9.436776591164093E-5
13802,6.649554653398004E9,3.8602723662557445,3.8599930475465745,7.235725427348756E-5
13902,6.697750285687996E9,3.8602723662557445,3.859965333632397,7.953651820822662E-5
14002,6.745943747306002E9,3.8602723662557445,3.8599591335647387,8.114264002299493E-5
14102,6.794116231737002E9,3.8602723662557445,3.859885219153998,1.0029010002789272E-4
14202,6.842321081196993E9,3.8602723662557445,3.8598781386448135,1.0212429940879448E-4
14302,6.890470504479E9,3.8602723662557445,3.8598343819108365,1.1345944103236169E-4
14402,6.938638785439002E9,3.8602723662557445,3.859831270978804,1.142653251092517E-4
14502,6.986781414999001E9,3.8602723662557445,3.8597836827328518,1.265930163800258E-4
14602,7.034933478552999E9,3.8602723662557445,3.859742218575106,1.373342682430885E-4
14702,7.083107509032003E9,3.8602723662557445,3.8596959460827525,1.4932111475625837E-4
14802,7.131269822878006E9,3.8602723662557445,3.859611109035027,1.712980738089786E-4
14902,7.179432085865003E9,3.8602723662557445,3.8596019209721812,1.736782330241633E-4
15002,7.227679733233995E9,3.8602723662557445,3.8596574961190555,1.5928154242790627E-4
15102,7.275832294050996E9,3.8602723662557445,3.8597035868335134,1.4734178531106807E-4
15202,7.324010923889993E9,3.8602723662557445,3.859642282592993,1.6322259233813362E-4
15302,7.372133226404996E9,3.8602723662557445,3.8597386142767767,1.3826795840460047E-4
15402,7.420292615868003E9,3.8602723662557445,3.8597136036898076,1.4474692791660926E-4
15502,7.468492620676999E9,3.8602723662557445,3.8597538907879065,1.3431059227069566E-4
15602,7.516677793392992E9,3.8602723662557445,3.8597148724348576,1.444182606803282E-4
15702,7.564855308602994E9,3.8602723662557445,3.859837813058169,1.1257060547700792E-4
15802,7.613024110843E9,3.8602723662557445,3.859903173912734,9.563893631903703E-5
15902,7.661231197427E9,3.8602723662557445,3.859844774431122,1.1076726822701276E-4
16002,7.709395576279003E9,3.8602723662557445,3.8598287811729493,1.1491030702207893E-4
16102,7.757555386453004E9,3.8602723662557445,3.8599480475508234,8.401446171418293E-5
16202,7.805746305636004E9,3.8602723662557445,3.8599670043858825,7.910371105711894E-5
16302,7.853975951653992E9,3.8602723662557445,3.859915056340924,9.256080424377083E-5
16402,7.902168816251003E9,3.8602723662557445,3.8598937252520917,9.808660315336103E-5
16502,7.950332238038003E9,3.8602723662557445,3.8598840191436254,1.0060096160929147E-4
16602,7.998492544361995E9,3.8602723662557445,3.859869684489281,1.0431434061065985E-4
16702,8.046689604410004E9,3.8602723662557445,3.859888625055727,9.940780432283715E-5
16802,8.094878765021994E9,3.8602723662557445,3.859931364607585,8.833616279005894E-5
16902,8.143038397859003E9,3.8602723662557445,3.8599121191198718,9.332168865126309E-5
17002,8.191208470897E9,3.8602723662557445,3.860010333058709,6.787945828022166E-5
17102,8.239372940521998E9,3.8602723662557445,3.859971820233649,7.785617013009893E-5
17202,8.287546515885003E9,3.8602723662557445,3.8599327464444113,8.79781992332963E-5
17302,8.335752674705995E9,3.8602723662557445,3.8599770981339487,7.64889349199484E-5
17402,8.383953533534007E9,3.8602723662557445,3.859984483951895,7.45756455855769E-5
17502,8.432171315938999E9,3.8602723662557445,3.8599188267272155,9.158408914859196E-5
